"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 27 23:20:36 PKT 2023","Wed Dec 27 23:21:01 PKT 2023","24628","","Test Verify Teachers Section","test_teacher_ptm_meeting","","","test_teacher_ptm_meeting.py Link",""
"passed","Wed Dec 27 23:21:01 PKT 2023","Wed Dec 27 23:21:23 PKT 2023","22735","","Test Verify Teachers Section","test_teacher_reschedule_requests","","","test_teacher_reschedule_requests.py Link",""
"failed","Wed Dec 27 23:19:29 PKT 2023","Wed Dec 27 23:20:36 PKT 2023","67269","","Test Verify Teachers Section","test_teacher_feedback","","","test_teacher_feedback.py Link",""
"passed","Wed Dec 27 23:17:57 PKT 2023","Wed Dec 27 23:18:20 PKT 2023","23120","","Test Verify Teachers Section","test_teacher_active_courses","","","test_teacher_active_courses.py Link",""
"passed","Wed Dec 27 23:19:00 PKT 2023","Wed Dec 27 23:19:29 PKT 2023","28676","","Test Verify Teachers Section","test_teacher_assignments_list","","","test_teacher_assignments_list.py Link",""
"passed","Wed Dec 27 23:21:23 PKT 2023","Wed Dec 27 23:21:45 PKT 2023","22114","","Test Verify Teachers Section","test_teacher_timesheet","","","test_teacher_timesheet.py Link",""
"passed","Wed Dec 27 23:17:34 PKT 2023","Wed Dec 27 23:17:57 PKT 2023","23091","","Test Verify Teachers Section","test_teacher_dashboard","","","test_teacher_dashboard.py Link",""
"failed","Wed Dec 27 23:18:20 PKT 2023","Wed Dec 27 23:19:00 PKT 2023","39693","","Test Verify Teachers Section","test_teacher_add_course","","","test_teacher_add_course.py Link",""
